run,p50,p75,p90,p95,p99,p99.5,p99.9
1,13968,NA,340,NA,NA,NA,55744
2,13968,NA,356,NA,NA,NA,51776
3,13968,NA,350,NA,NA,NA,47552
4,13968,NA,334,NA,NA,NA,56768
5,13968,NA,414,NA,NA,NA,56128
6,13968,NA,341,NA,NA,NA,58560
7,13968,NA,350,NA,NA,NA,46400
8,13968,NA,346,NA,NA,NA,55744
9,13968,NA,352,NA,NA,NA,47552
10,13968,NA,350,NA,NA,NA,54080
11,13968,NA,345,NA,NA,NA,53056
12,13968,NA,295,NA,NA,NA,67712
13,13968,NA,343,NA,NA,NA,52928
14,13968,NA,340,NA,NA,NA,56128
15,13968,NA,343,NA,NA,NA,57280
16,13968,NA,289,NA,NA,NA,52800
17,13968,NA,279,NA,NA,NA,56768
18,13968,NA,420,NA,NA,NA,55232
19,13968,NA,354,NA,NA,NA,53312
20,13968,NA,280,NA,NA,NA,50368
21,13968,NA,283,NA,NA,NA,45120
22,13968,NA,283,NA,NA,NA,54848
23,13968,NA,330,NA,NA,NA,52672
24,13968,NA,345,NA,NA,NA,49856
25,13968,NA,408,NA,NA,NA,35520
26,13968,NA,279,NA,NA,NA,52544
27,13968,NA,302,NA,NA,NA,51648
28,13968,NA,349,NA,NA,NA,48576
29,13968,NA,284,NA,NA,NA,49344
30,13968,NA,338,NA,NA,NA,59584
31,13968,NA,288,NA,NA,NA,57536
32,13968,NA,342,NA,NA,NA,47552
33,13968,NA,363,NA,NA,NA,45120
34,13968,NA,344,NA,NA,NA,52672
35,13968,NA,279,NA,NA,NA,54848
36,13936,NA,408,NA,NA,NA,42816
37,13968,NA,344,NA,NA,NA,52672
38,13968,NA,351,NA,NA,NA,53952
39,13968,NA,352,NA,NA,NA,50368
40,13968,NA,344,NA,NA,NA,48064
41,13968,NA,481,NA,NA,NA,49984
42,13968,NA,283,NA,NA,NA,49344
43,13968,NA,348,NA,NA,NA,55104
44,13968,NA,374,NA,NA,NA,52288
45,13968,NA,291,NA,NA,NA,56896
46,13968,NA,209,NA,NA,NA,48064
47,13968,NA,350,NA,NA,NA,47680
48,13968,NA,347,NA,NA,NA,47296
49,13968,NA,343,NA,NA,NA,56256
50,13968,NA,354,NA,NA,NA,56640
51,13968,NA,303,NA,NA,NA,56768
52,13968,NA,344,NA,NA,NA,50368
53,13968,NA,283,NA,NA,NA,41664
54,13968,NA,351,NA,NA,NA,47808
55,13968,NA,281,NA,NA,NA,59456
56,13968,NA,354,NA,NA,NA,56384
57,13968,NA,281,NA,NA,NA,51264
58,13968,NA,282,NA,NA,NA,51264
59,13968,NA,343,NA,NA,NA,56128
60,13968,NA,343,NA,NA,NA,47168
61,13968,NA,465,NA,NA,NA,56000
62,13968,NA,344,NA,NA,NA,53056
63,13968,NA,333,NA,NA,NA,52672
64,13968,NA,290,NA,NA,NA,56768
65,13968,NA,346,NA,NA,NA,48576
66,13968,NA,391,NA,NA,NA,51648
67,13968,NA,396,NA,NA,NA,54592
68,13968,NA,347,NA,NA,NA,54080
69,13968,NA,541,NA,NA,NA,56256
70,13968,NA,288,NA,NA,NA,58688
71,13968,NA,364,NA,NA,NA,56384
72,13936,NA,421,NA,NA,NA,48320
73,13968,NA,283,NA,NA,NA,47936
74,13968,NA,278,NA,NA,NA,57024
75,13968,NA,276,NA,NA,NA,52672
76,13968,NA,278,NA,NA,NA,54464
77,13968,NA,305,NA,NA,NA,58432
78,13968,NA,280,NA,NA,NA,52672
79,13968,NA,289,NA,NA,NA,49472
80,13968,NA,465,NA,NA,NA,44224
81,13968,NA,474,NA,NA,NA,53824
82,13968,NA,300,NA,NA,NA,47168
83,13968,NA,290,NA,NA,NA,57536
84,13968,NA,353,NA,NA,NA,54976
85,13968,NA,209,NA,NA,NA,60736
86,13968,NA,297,NA,NA,NA,48192
87,13968,NA,353,NA,NA,NA,51648
88,13968,NA,418,NA,NA,NA,51776
89,13968,NA,352,NA,NA,NA,56640
90,13968,NA,331,NA,NA,NA,58176
91,13968,NA,326,NA,NA,NA,56256
92,13968,NA,416,NA,NA,NA,55104
93,13968,NA,283,NA,NA,NA,49728
94,13968,NA,343,NA,NA,NA,52544
95,13968,NA,336,NA,NA,NA,41664
96,13968,NA,274,NA,NA,NA,62272
97,13968,NA,380,NA,NA,NA,48064
98,13968,NA,280,NA,NA,NA,55232
99,13968,NA,294,NA,NA,NA,49600
100,13968,NA,455,NA,NA,NA,52288
