run,p50,p75,p90,p95,p99,p99.5,p99.9
1,13968,NA,276,NA,NA,NA,55232
2,13968,NA,212,NA,NA,NA,59840
3,13968,NA,390,NA,NA,NA,56384
4,13968,NA,352,NA,NA,NA,56512
5,13968,NA,283,NA,NA,NA,45888
6,13968,NA,342,NA,NA,NA,56256
7,13968,NA,276,NA,NA,NA,54720
8,13968,NA,436,NA,NA,NA,46528
9,13968,NA,344,NA,NA,NA,57024
10,13968,NA,349,NA,NA,NA,52672
11,13968,NA,416,NA,NA,NA,50368
12,13968,NA,419,NA,NA,NA,53824
13,13968,NA,301,NA,NA,NA,59712
14,13968,NA,293,NA,NA,NA,47296
15,13968,NA,303,NA,NA,NA,51264
16,13968,NA,300,NA,NA,NA,54208
17,13968,NA,280,NA,NA,NA,51008
18,13968,NA,351,NA,NA,NA,41920
19,13968,NA,278,NA,NA,NA,46784
20,13968,NA,349,NA,NA,NA,50880
21,13968,NA,283,NA,NA,NA,49472
22,13968,NA,353,NA,NA,NA,56768
23,13968,NA,279,NA,NA,NA,47296
24,13968,NA,275,NA,NA,NA,54592
25,13968,NA,350,NA,NA,NA,57152
26,13968,NA,279,NA,NA,NA,47936
27,13968,NA,318,NA,NA,NA,52672
28,13968,NA,342,NA,NA,NA,58048
29,13968,NA,379,NA,NA,NA,57408
30,13968,NA,292,NA,NA,NA,55360
31,13968,NA,348,NA,NA,NA,49472
32,13968,NA,348,NA,NA,NA,53952
33,13968,NA,288,NA,NA,NA,47296
34,13968,NA,278,NA,NA,NA,52544
35,13968,NA,353,NA,NA,NA,47424
36,13968,NA,347,NA,NA,NA,55360
37,13968,NA,411,NA,NA,NA,49856
38,13968,NA,282,NA,NA,NA,50624
39,13968,NA,282,NA,NA,NA,49856
40,13968,NA,318,NA,NA,NA,54976
41,13968,NA,279,NA,NA,NA,53696
42,13968,NA,451,NA,NA,NA,54592
43,13968,NA,344,NA,NA,NA,46528
44,13968,NA,352,NA,NA,NA,53568
45,13968,NA,279,NA,NA,NA,56384
46,13968,NA,352,NA,NA,NA,47296
47,13968,NA,344,NA,NA,NA,51136
48,13968,NA,412,NA,NA,NA,51520
49,13968,NA,209,NA,NA,NA,59968
50,13968,NA,353,NA,NA,NA,56128
51,13968,NA,363,NA,NA,NA,56128
52,13968,NA,277,NA,NA,NA,51904
53,13968,NA,291,NA,NA,NA,59968
54,13968,NA,343,NA,NA,NA,49984
55,13968,NA,280,NA,NA,NA,56512
56,13968,NA,303,NA,NA,NA,53824
57,13968,NA,349,NA,NA,NA,56384
58,13968,NA,299,NA,NA,NA,56512
59,13968,NA,335,NA,NA,NA,51520
60,13968,NA,349,NA,NA,NA,47680
61,13968,NA,275,NA,NA,NA,56000
62,13968,NA,423,NA,NA,NA,54848
63,13968,NA,284,NA,NA,NA,47552
64,13968,NA,281,NA,NA,NA,48192
65,13968,NA,301,NA,NA,NA,51264
66,13968,NA,354,NA,NA,NA,57024
67,13968,NA,284,NA,NA,NA,48448
68,13968,NA,212,NA,NA,NA,55360
69,13968,NA,401,NA,NA,NA,59712
70,13968,NA,344,NA,NA,NA,48960
71,13968,NA,348,NA,NA,NA,48064
72,13968,NA,347,NA,NA,NA,52672
73,13968,NA,353,NA,NA,NA,55104
74,13968,NA,347,NA,NA,NA,56128
75,13968,NA,332,NA,NA,NA,51648
76,13968,NA,281,NA,NA,NA,47296
77,13968,NA,280,NA,NA,NA,49216
78,13968,NA,283,NA,NA,NA,56640
79,13968,NA,210,NA,NA,NA,59840
80,13968,NA,349,NA,NA,NA,48576
81,13968,NA,417,NA,NA,NA,49600
82,13968,NA,297,NA,NA,NA,48064
83,13968,NA,330,NA,NA,NA,51264
84,13968,NA,361,NA,NA,NA,48192
85,13968,NA,318,NA,NA,NA,50496
86,13968,NA,278,NA,NA,NA,45632
87,13968,NA,417,NA,NA,NA,55744
88,13936,NA,458,NA,NA,NA,48576
89,13968,NA,355,NA,NA,NA,50624
90,13968,NA,290,NA,NA,NA,56512
91,13968,NA,291,NA,NA,NA,55488
92,13968,NA,347,NA,NA,NA,57280
93,13968,NA,279,NA,NA,NA,49088
94,13968,NA,348,NA,NA,NA,57280
95,13968,NA,411,NA,NA,NA,56512
96,13968,NA,345,NA,NA,NA,51520
97,13968,NA,380,NA,NA,NA,54592
98,13968,NA,358,NA,NA,NA,50752
99,13968,NA,364,NA,NA,NA,44608
100,13968,NA,353,NA,NA,NA,57024
