run,p50,p75,p90,p95,p99,p99.5,p99.9
1,3940,NA,1974,NA,NA,NA,9648
2,3932,NA,1982,NA,NA,NA,8184
3,3940,NA,1974,NA,NA,NA,8240
4,3940,NA,1982,NA,NA,NA,8184
5,3932,NA,1982,NA,NA,NA,8136
6,3932,NA,2018,NA,NA,NA,8152
7,3940,NA,1974,NA,NA,NA,8208
8,3940,NA,1994,NA,NA,NA,8120
9,3932,NA,1986,NA,NA,NA,8152
10,3924,NA,1990,NA,NA,NA,8120
11,3940,NA,1994,NA,NA,NA,8152
12,3932,NA,1990,NA,NA,NA,8152
13,3940,NA,1978,NA,NA,NA,8208
14,3932,NA,1994,NA,NA,NA,8168
15,3932,NA,1990,NA,NA,NA,8120
16,3940,NA,1974,NA,NA,NA,8184
17,3932,NA,1986,NA,NA,NA,8168
18,3940,NA,1974,NA,NA,NA,8240
19,3932,NA,1990,NA,NA,NA,8168
20,3932,NA,1982,NA,NA,NA,8152
21,3940,NA,1990,NA,NA,NA,8168
22,3924,NA,1986,NA,NA,NA,8168
23,3932,NA,1990,NA,NA,NA,8120
24,3940,NA,1974,NA,NA,NA,8240
25,3932,NA,1986,NA,NA,NA,8152
26,3940,NA,1990,NA,NA,NA,8152
27,3940,NA,1978,NA,NA,NA,8184
28,3932,NA,1990,NA,NA,NA,8120
29,3940,NA,1986,NA,NA,NA,8168
30,3932,NA,1990,NA,NA,NA,8136
31,3940,NA,2018,NA,NA,NA,8104
32,3940,NA,1990,NA,NA,NA,8240
33,3932,NA,1986,NA,NA,NA,8120
34,3948,NA,1990,NA,NA,NA,8120
35,3940,NA,1970,NA,NA,NA,8592
36,3932,NA,1998,NA,NA,NA,8168
37,3932,NA,1990,NA,NA,NA,8104
38,3940,NA,1978,NA,NA,NA,8208
39,3932,NA,1982,NA,NA,NA,8168
40,3940,NA,1974,NA,NA,NA,8240
41,3940,NA,1974,NA,NA,NA,8184
42,3932,NA,1990,NA,NA,NA,8208
43,3924,NA,1986,NA,NA,NA,8120
44,3932,NA,1982,NA,NA,NA,8168
45,3932,NA,1986,NA,NA,NA,8120
46,3940,NA,1974,NA,NA,NA,8208
47,3932,NA,1986,NA,NA,NA,8136
48,3932,NA,1982,NA,NA,NA,8168
49,3940,NA,1982,NA,NA,NA,8152
50,3932,NA,1990,NA,NA,NA,8168
51,3940,NA,1986,NA,NA,NA,8208
52,3940,NA,1998,NA,NA,NA,8104
53,3932,NA,1990,NA,NA,NA,8104
54,3940,NA,1978,NA,NA,NA,8208
55,3940,NA,1974,NA,NA,NA,8208
56,3924,NA,1982,NA,NA,NA,8104
57,3940,NA,1986,NA,NA,NA,9488
58,3940,NA,1986,NA,NA,NA,8184
59,3940,NA,1978,NA,NA,NA,8184
60,3932,NA,1974,NA,NA,NA,8136
61,3940,NA,1978,NA,NA,NA,8152
62,3940,NA,1986,NA,NA,NA,8120
63,3940,NA,1978,NA,NA,NA,8184
64,3940,NA,1982,NA,NA,NA,8208
65,3948,NA,1974,NA,NA,NA,8272
66,3948,NA,1978,NA,NA,NA,8240
67,3940,NA,1990,NA,NA,NA,8184
68,3940,NA,1994,NA,NA,NA,8168
69,3932,NA,1990,NA,NA,NA,8184
70,3940,NA,1990,NA,NA,NA,8272
71,3932,NA,1982,NA,NA,NA,8168
72,3932,NA,1990,NA,NA,NA,8136
73,3940,NA,1982,NA,NA,NA,8184
74,3932,NA,1998,NA,NA,NA,8120
75,3940,NA,1998,NA,NA,NA,8168
76,3940,NA,2002,NA,NA,NA,8136
77,3932,NA,1986,NA,NA,NA,8152
78,3924,NA,1994,NA,NA,NA,8120
79,3932,NA,1986,NA,NA,NA,8152
80,3948,NA,1966,NA,NA,NA,8208
81,3924,NA,1990,NA,NA,NA,8152
82,3932,NA,2006,NA,NA,NA,8152
83,3932,NA,1982,NA,NA,NA,8184
84,3924,NA,1990,NA,NA,NA,8136
85,3924,NA,1994,NA,NA,NA,8184
86,3932,NA,1990,NA,NA,NA,8120
87,3940,NA,2014,NA,NA,NA,8120
88,3932,NA,1982,NA,NA,NA,8152
89,3924,NA,1986,NA,NA,NA,8120
90,3940,NA,1982,NA,NA,NA,8120
91,3932,NA,1982,NA,NA,NA,8168
92,3940,NA,1974,NA,NA,NA,8848
93,3924,NA,1990,NA,NA,NA,8120
94,3932,NA,1982,NA,NA,NA,8152
95,3932,NA,1990,NA,NA,NA,8120
96,3932,NA,1982,NA,NA,NA,8168
97,3940,NA,1982,NA,NA,NA,8208
98,3932,NA,1986,NA,NA,NA,8168
99,3940,NA,1990,NA,NA,NA,8184
100,3940,NA,2002,NA,NA,NA,8240
