run,p50,p75,p90,p95,p99,p99.5,p99.9
1,3932,NA,1622,NA,NA,NA,8560
2,3932,NA,1250,NA,NA,NA,8008
3,3932,NA,1498,NA,NA,NA,8104
4,3932,NA,1001,NA,NA,NA,8104
5,3916,NA,1246,NA,NA,NA,8072
6,3932,NA,1170,NA,NA,NA,8152
7,3932,NA,887,NA,NA,NA,8184
8,3932,NA,1186,NA,NA,NA,8208
9,3932,NA,1015,NA,NA,NA,8088
10,3932,NA,1146,NA,NA,NA,8168
11,3932,NA,1402,NA,NA,NA,8592
12,3924,NA,1250,NA,NA,NA,8024
13,3932,NA,999,NA,NA,NA,8008
14,3932,NA,971,NA,NA,NA,8136
15,3932,NA,999,NA,NA,NA,8024
16,3932,NA,1498,NA,NA,NA,8104
17,3924,NA,999,NA,NA,NA,8024
18,3940,NA,1422,NA,NA,NA,9008
19,3932,NA,1658,NA,NA,NA,9200
20,3932,NA,1398,NA,NA,NA,9072
21,3932,NA,1498,NA,NA,NA,8184
22,3932,NA,1690,NA,NA,NA,8688
23,3932,NA,1250,NA,NA,NA,8056
24,3932,NA,1142,NA,NA,NA,8272
25,3932,NA,1498,NA,NA,NA,8104
26,3940,NA,1446,NA,NA,NA,8208
27,3932,NA,1250,NA,NA,NA,8008
28,3924,NA,1250,NA,NA,NA,8072
29,3940,NA,1110,NA,NA,NA,8168
30,3932,NA,1498,NA,NA,NA,8104
31,3932,NA,999,NA,NA,NA,8168
32,3932,NA,1370,NA,NA,NA,8152
33,3932,NA,1250,NA,NA,NA,8024
34,3932,NA,1250,NA,NA,NA,8008
35,3932,NA,995,NA,NA,NA,8024
36,3932,NA,1162,NA,NA,NA,8184
37,3932,NA,1142,NA,NA,NA,8944
38,3932,NA,1458,NA,NA,NA,8152
39,3932,NA,1494,NA,NA,NA,8168
40,3924,NA,1001,NA,NA,NA,8024
41,3932,NA,1162,NA,NA,NA,8120
42,3932,NA,1114,NA,NA,NA,8120
43,3932,NA,1498,NA,NA,NA,8024
44,3932,NA,1250,NA,NA,NA,8008
45,3940,NA,1158,NA,NA,NA,8688
46,3924,NA,1246,NA,NA,NA,8136
47,3932,NA,1258,NA,NA,NA,9200
48,3932,NA,1150,NA,NA,NA,8152
49,3932,NA,1070,NA,NA,NA,8104
50,3932,NA,1358,NA,NA,NA,8720
51,3932,NA,1418,NA,NA,NA,8208
52,3932,NA,1454,NA,NA,NA,9136
53,3924,NA,1250,NA,NA,NA,8088
54,3916,NA,999,NA,NA,NA,8120
55,3932,NA,763,NA,NA,NA,8208
56,3924,NA,1250,NA,NA,NA,8024
57,3924,NA,1250,NA,NA,NA,8024
58,3924,NA,1242,NA,NA,NA,8240
59,3932,NA,1190,NA,NA,NA,8152
60,3940,NA,983,NA,NA,NA,8752
61,3932,NA,1442,NA,NA,NA,8120
62,3932,NA,1390,NA,NA,NA,8120
63,3932,NA,1242,NA,NA,NA,8152
64,3932,NA,1394,NA,NA,NA,8208
65,3932,NA,749,NA,NA,NA,8152
66,3932,NA,1198,NA,NA,NA,8720
67,3932,NA,1190,NA,NA,NA,8152
68,3932,NA,997,NA,NA,NA,8088
69,3932,NA,1250,NA,NA,NA,8024
70,3932,NA,997,NA,NA,NA,8104
71,3932,NA,999,NA,NA,NA,8152
72,3932,NA,1478,NA,NA,NA,8208
73,3932,NA,1306,NA,NA,NA,9104
74,3932,NA,999,NA,NA,NA,8024
75,3932,NA,1418,NA,NA,NA,8400
76,3932,NA,999,NA,NA,NA,8120
77,3932,NA,921,NA,NA,NA,10000
78,3924,NA,999,NA,NA,NA,8104
79,3932,NA,1222,NA,NA,NA,9328
80,3924,NA,999,NA,NA,NA,8104
81,3924,NA,1250,NA,NA,NA,8072
82,3932,NA,1034,NA,NA,NA,8240
83,3932,NA,1094,NA,NA,NA,8152
84,3932,NA,999,NA,NA,NA,8168
85,3932,NA,1270,NA,NA,NA,8208
86,3932,NA,955,NA,NA,NA,8184
87,3932,NA,1358,NA,NA,NA,8152
88,3916,NA,1246,NA,NA,NA,8104
89,3924,NA,1250,NA,NA,NA,8104
90,3916,NA,1498,NA,NA,NA,8040
91,3932,NA,909,NA,NA,NA,9136
92,3916,NA,999,NA,NA,NA,8088
93,3932,NA,1174,NA,NA,NA,9744
94,3932,NA,1726,NA,NA,NA,9872
95,3932,NA,1001,NA,NA,NA,5928
96,3924,NA,1498,NA,NA,NA,6040
97,3932,NA,999,NA,NA,NA,8040
98,3924,NA,1250,NA,NA,NA,8008
99,3932,NA,1250,NA,NA,NA,8104
100,3924,NA,1001,NA,NA,NA,8024
