run,p50,p75,p90,p95,p99,p99.5,p99.9
1,3940,NA,1990,NA,NA,NA,8040
2,3916,NA,1990,NA,NA,NA,8024
3,3924,NA,1998,NA,NA,NA,8040
4,3916,NA,1998,NA,NA,NA,8040
5,3916,NA,1994,NA,NA,NA,8024
6,3932,NA,1990,NA,NA,NA,8024
7,3916,NA,1998,NA,NA,NA,8024
8,3924,NA,1990,NA,NA,NA,8040
9,3916,NA,1990,NA,NA,NA,8056
10,3916,NA,1994,NA,NA,NA,8024
11,3916,NA,1990,NA,NA,NA,8040
12,3916,NA,1998,NA,NA,NA,8056
13,3924,NA,1990,NA,NA,NA,8024
14,3924,NA,1994,NA,NA,NA,8024
15,3916,NA,1990,NA,NA,NA,8024
16,3924,NA,1990,NA,NA,NA,8024
17,3932,NA,1998,NA,NA,NA,8024
18,3916,NA,1990,NA,NA,NA,8040
19,3916,NA,1994,NA,NA,NA,8040
20,3932,NA,1990,NA,NA,NA,8040
21,3924,NA,1994,NA,NA,NA,8024
22,3924,NA,1990,NA,NA,NA,8040
23,3924,NA,1990,NA,NA,NA,8024
24,3940,NA,1990,NA,NA,NA,8024
25,3924,NA,1990,NA,NA,NA,8024
26,3916,NA,1998,NA,NA,NA,8040
27,3924,NA,1994,NA,NA,NA,8024
28,3924,NA,1990,NA,NA,NA,8024
29,3916,NA,1994,NA,NA,NA,8040
30,3932,NA,1994,NA,NA,NA,8040
31,3916,NA,1990,NA,NA,NA,8024
32,3916,NA,1994,NA,NA,NA,8024
33,3916,NA,1990,NA,NA,NA,8040
34,3916,NA,1990,NA,NA,NA,8024
35,3916,NA,1998,NA,NA,NA,8024
36,3916,NA,1998,NA,NA,NA,8024
37,3916,NA,1998,NA,NA,NA,8024
38,3916,NA,1990,NA,NA,NA,8024
39,3916,NA,1998,NA,NA,NA,8024
40,3940,NA,1994,NA,NA,NA,8040
41,3924,NA,1986,NA,NA,NA,8024
42,3916,NA,1990,NA,NA,NA,8024
43,3932,NA,1986,NA,NA,NA,8040
44,3924,NA,1986,NA,NA,NA,8056
45,3924,NA,1990,NA,NA,NA,8056
46,3916,NA,1994,NA,NA,NA,8024
47,3932,NA,1986,NA,NA,NA,8040
48,3924,NA,1990,NA,NA,NA,8024
49,3916,NA,1990,NA,NA,NA,8024
50,3916,NA,1990,NA,NA,NA,8024
51,3924,NA,1986,NA,NA,NA,8040
52,3924,NA,1990,NA,NA,NA,8024
53,3916,NA,1994,NA,NA,NA,8024
54,3924,NA,1990,NA,NA,NA,8040
55,3924,NA,1990,NA,NA,NA,8040
56,3932,NA,1994,NA,NA,NA,8024
57,3924,NA,1990,NA,NA,NA,8040
58,3924,NA,1990,NA,NA,NA,8024
59,3932,NA,1982,NA,NA,NA,8104
60,3932,NA,1982,NA,NA,NA,8040
61,3924,NA,1990,NA,NA,NA,8024
62,3924,NA,1990,NA,NA,NA,8056
63,3924,NA,1990,NA,NA,NA,8024
64,3916,NA,1994,NA,NA,NA,8024
65,3924,NA,1990,NA,NA,NA,8056
66,3924,NA,1990,NA,NA,NA,8040
67,3916,NA,1990,NA,NA,NA,8024
68,3924,NA,1990,NA,NA,NA,8072
69,3916,NA,1994,NA,NA,NA,8024
70,3916,NA,1990,NA,NA,NA,8024
71,3916,NA,1990,NA,NA,NA,8040
72,3916,NA,1990,NA,NA,NA,8024
73,3916,NA,1990,NA,NA,NA,8040
74,3932,NA,1998,NA,NA,NA,8024
75,3924,NA,1998,NA,NA,NA,8056
76,3916,NA,1990,NA,NA,NA,8024
77,3932,NA,1990,NA,NA,NA,8072
78,3932,NA,1986,NA,NA,NA,8024
79,3916,NA,1990,NA,NA,NA,8040
80,3916,NA,1990,NA,NA,NA,8024
81,3916,NA,1994,NA,NA,NA,8024
82,3916,NA,1990,NA,NA,NA,8040
83,3916,NA,1990,NA,NA,NA,8024
84,3940,NA,1982,NA,NA,NA,8024
85,3924,NA,1990,NA,NA,NA,8040
86,3924,NA,1986,NA,NA,NA,8040
87,3916,NA,1990,NA,NA,NA,8040
88,3916,NA,1990,NA,NA,NA,8024
89,3916,NA,1990,NA,NA,NA,8024
90,3924,NA,1990,NA,NA,NA,8024
91,3924,NA,1990,NA,NA,NA,8024
92,3932,NA,1990,NA,NA,NA,8040
93,3924,NA,1990,NA,NA,NA,8024
94,3924,NA,1998,NA,NA,NA,8024
95,3924,NA,1990,NA,NA,NA,8024
96,3924,NA,1990,NA,NA,NA,8024
97,3916,NA,1998,NA,NA,NA,8024
98,3916,NA,1990,NA,NA,NA,8024
99,3924,NA,1990,NA,NA,NA,8024
100,3932,NA,1990,NA,NA,NA,8056
