run,p50,p75,p90,p95,p99,p99.5,p99.9
1,3924,NA,1990,NA,NA,NA,8104
2,3932,NA,1986,NA,NA,NA,8136
3,3924,NA,1990,NA,NA,NA,8056
4,3924,NA,1994,NA,NA,NA,8024
5,3924,NA,1998,NA,NA,NA,8136
6,3924,NA,1998,NA,NA,NA,8136
7,3908,NA,1998,NA,NA,NA,8072
8,3916,NA,1990,NA,NA,NA,8088
9,3924,NA,1990,NA,NA,NA,8136
10,3924,NA,1994,NA,NA,NA,8120
11,3924,NA,1990,NA,NA,NA,8104
12,3908,NA,1998,NA,NA,NA,8024
13,3924,NA,1994,NA,NA,NA,8088
14,3916,NA,1998,NA,NA,NA,8056
15,3940,NA,1982,NA,NA,NA,8136
16,3924,NA,1994,NA,NA,NA,8136
17,3916,NA,1998,NA,NA,NA,8040
18,3932,NA,1990,NA,NA,NA,8104
19,3940,NA,1978,NA,NA,NA,8120
20,3916,NA,1998,NA,NA,NA,8088
21,3916,NA,1998,NA,NA,NA,8072
22,3924,NA,1994,NA,NA,NA,8152
23,3924,NA,1998,NA,NA,NA,8024
24,3932,NA,1994,NA,NA,NA,8104
25,3916,NA,1990,NA,NA,NA,8088
26,3924,NA,1990,NA,NA,NA,8104
27,3924,NA,1998,NA,NA,NA,8088
28,3916,NA,1990,NA,NA,NA,8104
29,3916,NA,1994,NA,NA,NA,8088
30,3916,NA,1998,NA,NA,NA,8040
31,3932,NA,1982,NA,NA,NA,8104
32,3924,NA,1998,NA,NA,NA,8104
33,3924,NA,1990,NA,NA,NA,8040
34,3924,NA,1994,NA,NA,NA,8040
35,3924,NA,1990,NA,NA,NA,8088
36,3932,NA,1990,NA,NA,NA,8120
37,3932,NA,1982,NA,NA,NA,8152
38,3908,NA,1998,NA,NA,NA,8024
39,3932,NA,1990,NA,NA,NA,8120
40,3916,NA,1994,NA,NA,NA,8072
41,3916,NA,1990,NA,NA,NA,8088
42,3924,NA,1998,NA,NA,NA,8072
43,3924,NA,1990,NA,NA,NA,8104
44,3924,NA,1990,NA,NA,NA,8104
45,3940,NA,2010,NA,NA,NA,8088
46,3932,NA,1990,NA,NA,NA,8072
47,3924,NA,1982,NA,NA,NA,8104
48,3924,NA,1998,NA,NA,NA,8104
49,3916,NA,1994,NA,NA,NA,8040
50,3932,NA,1990,NA,NA,NA,8104
51,3940,NA,1986,NA,NA,NA,8120
52,3924,NA,1990,NA,NA,NA,8072
53,3924,NA,1998,NA,NA,NA,8088
54,3932,NA,1990,NA,NA,NA,8120
55,3916,NA,1998,NA,NA,NA,8024
56,3916,NA,1998,NA,NA,NA,8072
57,3940,NA,1998,NA,NA,NA,8104
58,3908,NA,1998,NA,NA,NA,8024
59,3916,NA,1998,NA,NA,NA,8040
60,3908,NA,1998,NA,NA,NA,8024
61,3924,NA,1994,NA,NA,NA,8120
62,3916,NA,1998,NA,NA,NA,8088
63,3924,NA,1990,NA,NA,NA,8104
64,3908,NA,1990,NA,NA,NA,8072
65,3924,NA,1998,NA,NA,NA,8040
66,3932,NA,1994,NA,NA,NA,8088
67,3924,NA,1990,NA,NA,NA,8104
68,3924,NA,1998,NA,NA,NA,8104
69,3924,NA,2010,NA,NA,NA,8120
70,3916,NA,1990,NA,NA,NA,8088
71,3916,NA,1998,NA,NA,NA,8088
72,3924,NA,1982,NA,NA,NA,8120
73,3924,NA,1990,NA,NA,NA,8104
74,3932,NA,1994,NA,NA,NA,8120
75,3924,NA,1998,NA,NA,NA,8072
76,3924,NA,1990,NA,NA,NA,8072
77,3916,NA,1994,NA,NA,NA,8072
78,3916,NA,1990,NA,NA,NA,8104
79,3932,NA,1978,NA,NA,NA,8120
80,3908,NA,1998,NA,NA,NA,8024
81,3932,NA,1990,NA,NA,NA,8120
82,3924,NA,1990,NA,NA,NA,8104
83,3924,NA,1990,NA,NA,NA,8104
84,3916,NA,1994,NA,NA,NA,8024
85,3932,NA,1990,NA,NA,NA,8120
86,3932,NA,1978,NA,NA,NA,8136
87,3924,NA,1990,NA,NA,NA,8104
88,3932,NA,1994,NA,NA,NA,8072
89,3932,NA,1974,NA,NA,NA,8120
90,3924,NA,1986,NA,NA,NA,8120
91,3916,NA,1990,NA,NA,NA,8088
92,3916,NA,1998,NA,NA,NA,8024
93,3932,NA,1990,NA,NA,NA,8120
94,3916,NA,1998,NA,NA,NA,8024
95,3916,NA,1998,NA,NA,NA,8072
96,3924,NA,1990,NA,NA,NA,8104
97,3924,NA,1990,NA,NA,NA,8104
98,3924,NA,1990,NA,NA,NA,8104
99,3916,NA,1998,NA,NA,NA,8088
100,3932,NA,1990,NA,NA,NA,8072
